Index,Board,System,Enrolment,Spaces,Per-student Funding ($),Per-student Spending ($),EQAO Pass Rate,Total Revenue,Total Expense,Surplus,"Year-End Accumulated Surplus (August 31, 2022)",Surplus as Share of Revenue,"Year-End Accumulated Surplus as Share of Revenue (August 31, 2022)",Remoteness (KM),Dispersion (KM),Urban Factor,Urban,Remote,Dispersion,Size,Geographic Area,Teacher Salaries (Actual),Total Salary,Total Teachers
1,DSB Ontario North East,English Public,6562.13,13434,19558.6287,21461.8473,0.464190981,141.9237402,140.835432,1.08830816,37.455778,0.00766826,0.263914818,659,53.89,0.956,Leans Rural,Medium Remote,Most Disperse,Small,24963,96888.97955,45242309,466.95
2,Algoma DSB,English Public,9761.51,15269,16756.54467,19329.4017,0.56,191.4657918,188.684148,2.78164379,26.867275,0.01452815,0.140324153,628,37.17,0.802,Leans Rural,Medium Remote,Most Disperse,Medium,9638,89554.47559,65491188,731.3
3,Rainbow DSB,English Public,12987.26,18367,15925.85157,17671.05895,0.627221172,231.3763973,229.498637,1.87776032,33.040406,0.008115609,0.14279938,363,27.2,0.349,Leans Urban,Medium Remote,Most Disperse,Medium,14837,92486.90905,89795540,970.9
4,Near North DSB,English Public,9560.12,13711,16549.41287,17688.24031,0.521629084,173.3893977,169.1017,4.28769774,26.962597,0.024728719,0.155503147,313,25.79,0.918,Leans Rural,Medium Remote,Most Disperse,Medium,17314,94751.55135,63061895,665.55
5,Keewatin-Patricia DSB,English Public,4226.26,7942,21324.43943,24741.34625,0.550305725,108.916721,104.563362,4.353359,39.725,0.039969611,0.364728204,1709,95.84,1,Rural,Most Remote,Most Disperse,Small,7283,91420.26796,33094137,362
6,Rainy River DSB,English Public,2033.97,4358,23890.25556,27820.46982,0.518721461,59.0466467,56.586001,2.4606457,26.913805,0.041672912,0.455805816,1584,49.85,1,Rural,Most Remote,Most Disperse,Small,10563,97299.11088,18603590,191.2
7,Lakehead DSB,English Public,8559.86,11673,15368.82798,16981.46313,0.594977843,153.7919827,145.358947,8.43303571,7.028,0.05483404,0.045698091,1257,25.19,0.572,Leans Rural,Most Remote,Most Disperse,Small,5156,94642.97246,52758725,557.45
8,Superior-Greenstone DSB,English Public,1188.64,4567,32524.26017,41406.08174,0.438669439,49.779957,49.216925,0.563032,13.250849,0.011310416,0.266188438,967,72.61,1,Rural,Medium Remote,Most Disperse,Small,18679,86755.86777,12596952,145.2
9,Bluewater DSB,English Public,17273,20513,13550.25103,13844.09014,0.590322992,244.48414,239.128969,5.355171,41.997859,0.021903961,0.171781527,<151,21.65,1,Rural,Least Remote,Medium Disperse,Medium,8701,91515.86564,97130364,1061.35
10,Avon Maitland DSB,English Public,14758.12,20017,14052.91249,14845.09667,0.655370745,223.4036529,219.085718,4.31793486,21.196891,0.019327951,0.094881577,<151,14.96,0.992,Leans Rural,Least Remote,Medium Disperse,Medium,5642,93772.27406,86429905,921.7
11,Greater Essex County DSB,English Public,35845.05,41728,12780.82496,13418.53416,0.62312433,484.5498429,480.988028,3.56181485,51.461532,0.007350771,0.106204827,<151,6.82,0.465,Leans Urban,Least Remote,Least Disperse,Large,1867,91814.8788,218170515,2376.2
12,Lambton Kent DSB,English Public,21108.53,30161,13359.19118,14466.48616,0.560609456,313.5098183,305.366257,8.14356132,51.781245,0.025975459,0.165166263,<151,15.71,0.712,Leans Rural,Least Remote,Medium Disperse,Medium,5500,93225.14896,127047233,1362.8
13,Thames Valley DSB,English Public,80219.64,86692,12664.41342,13363.29406,0.614669681,1063.769719,1071.998639,-8.22891989,103.696,-0.007735621,0.097479744,<151,9.03,0.454,Leans Urban,Least Remote,Least Disperse,Large,7274,87816.49152,468382430,5333.65
14,Toronto DSB,English Public,230846.65,294215,13428.35159,15253.04099,0.695691939,3433.047376,3521.113416,-88.06603951,-19.259,-0.025652439,-0.005609885,<151,3.85,0,Urban,Least Remote,Least Disperse,Large,635,91802.25134,1404716739,15301.55
15,Durham DSB,English Public,74093.78,70847,11991.18626,12616.63194,0.683128814,945.8714485,934.813951,11.05749745,311.513721,0.011690275,0.329340442,<151,5.54,0.513,Leans Rural,Least Remote,Least Disperse,Large,1959,88986.08122,424428013,4769.6
16,Kawartha Pine Ridge DSB,English Public,34176.75,37606,12910.6556,13837.29041,0.643194645,475.9159514,472.913615,3.00233637,52.550728,0.006308543,0.110420186,<151,13.94,0.816,Leans Rural,Least Remote,Medium Disperse,Large,7011,92563.78595,194860654,2105.15
17,Trillium Lakelands DSB,English Public,16735.15,23351,13795.60666,13950.22746,0.61136891,240.0781145,233.459149,6.61896548,23.374,0.027570049,0.097359978,<151,26.8,0.861,Leans Rural,Least Remote,Most Disperse,Medium,12175,89091.17749,92913189,1042.9
18,York Region DSB,English Public,124807.59,133999,12354.40541,13120.24648,0.774219967,1663.057165,1637.506343,25.55082181,955.851,0.015363766,0.574755348,<151,6.28,0.243,Leans Urban,Least Remote,Least Disperse,Large,1777,94189.31673,751564815,7979.3
19,Simcoe County DSB,English Public,54367.31,50664,12345.61925,12813.08507,0.636604892,718.2396419,696.612968,21.62667394,151.795,0.030110666,0.21134311,<151,11.6,0.759,Leans Rural,Least Remote,Medium Disperse,Large,4911,88820.8305,301808741,3397.95
20,Upper Grand DSB,English Public,34936.42,37330,12757.49504,13246.55984,0.677058624,462.827922,462.787378,0.040544,95.010753,8.76E-05,0.205283105,<151,9.72,0.754,Leans Rural,Least Remote,Least Disperse,Large,4196,90819.7164,201111180,2214.4
21,Peel DSB,English Public,150606.54,177212,12511.57774,13389.0172,0.681267117,2013.31439,2016.473554,-3.159164,638.973836,-0.001569136,0.317374097,<151,4.43,0.047,Leans Urban,Least Remote,Least Disperse,Large,1256,94195.90551,932643080,9901.1
22,Halton DSB,English Public,65803,66052,11919.52545,12725.98824,0.76252787,851.6973329,837.408204,14.28912889,331.317641,0.016777238,0.389008663,<151,5.65,0.306,Leans Urban,Least Remote,Least Disperse,Large,975,86317.89318,365500171,4234.35
23,Hamilton-Wentworth DSB,English Public,49711.77,53020,12659.80543,14273.20761,0.575269072,725.2977208,709.546414,15.75130681,120.074,0.021717022,0.165551327,<151,4,0,Urban,Least Remote,Least Disperse,Large,1126,90375.24493,296475991,3280.5
24,DSB of Niagara,English Public,39265.03,45121,12762.94972,13667.60458,0.77262273,547.16131,536.658904,10.502406,113.71041,0.019194351,0.207818806,<151,6.57,0.724,Leans Rural,Least Remote,Least Disperse,Large,1882,92347.49774,224829218,2434.6
25,Grand Erie DSB,English Public,25760.66,33003,12910.63442,13723.14882,0.563163482,357.389087,353.517371,3.871716,14.829003,0.010833336,0.041492602,<151,10.48,0.754,Leans Rural,Least Remote,Medium Disperse,Large,4066,90597.62188,150709144,1663.5
26,Waterloo Region DSB,English Public,64152.76,66734,12071.07767,12771.37487,0.671925155,826.308396,819.318947,6.989449,184.593774,0.008458645,0.223395738,<151,4.66,0.362,Leans Urban,Least Remote,Least Disperse,Large,1384,92704.07281,368466243,3974.65
27,Ottawa-Carleton DSB,English Public,73367.39,80505,12998.32946,14223.67212,0.690743679,1055.179851,1043.5537,11.62615143,141.922485,0.01101817,0.134500753,<151,5.57,0,Urban,Least Remote,Least Disperse,Large,2814,90162.66414,443988007,4924.3
28,Upper Canada DSB,English Public,26125.42,35689,14733.03173,15075.09919,0.562330978,399.3865022,393.843298,5.54320421,37.893842,0.013879298,0.094880127,<151,22.15,0.984,Leans Rural,Least Remote,Medium Disperse,Large,12141,92966.47673,156141846,1679.55
29,Limestone DSB,English Public,19371.03,24007,14102.89679,14828.39849,0.594149459,292.5849876,287.241352,5.34363558,43.396355,0.018263533,0.148320511,165,11.36,0.668,Leans Rural,Medium Remote,Medium Disperse,Medium,7208,92035.71691,115283939,1252.6
30,Renfrew County DSB,English Public,8894.79,13608,15618.3391,16441.3134,0.598343685,146.412051,146.24203,0.170021,14.388204,0.00116125,0.098271993,<151,23.64,1,Rural,Least Remote,Medium Disperse,Medium,8718,93531.28815,52714234,563.6
