Board,Associé au COVID,Soutien pour le tutorat,Soutien et évaluation de la lecture,Tous les autres,Total,Average
Durham DSB,419.16,42.46,16.90,44.83,523.35,652.00
Halton DSB,421.25,43.25,17.30,48.53,530.34,652.00
Peel DSB,432.85,44.44,16.55,45.09,538.93,652.00
York Region DSB,421.80,43.23,16.42,59.48,540.93,652.00
Halton Catholic DSB,433.26,45.05,19.19,48.93,546.43,652.00
Waterloo Region DSB,433.02,43.65,17.43,52.33,546.43,652.00
Dufferin-Peel Catholic DSB,434.95,45.01,17.46,57.33,554.75,652.00
Ottawa-Carleton DSB,456.55,43.04,17.07,50.32,566.98,652.00
York Catholic DSB,443.36,44.00,18.02,71.81,577.18,652.00
Hamilton-Wentworth DSB,448.73,43.97,18.05,82.54,593.29,652.00
Upper Grand DSB,467.80,43.64,18.99,63.41,593.85,652.00
Simcoe County DSB,428.00,42.67,17.56,108.77,596.99,652.00
Thames Valley DSB,455.14,44.40,17.20,80.67,597.41,652.00
Greater Essex County DSB,461.21,43.19,18.83,78.82,602.04,652.00
Ottawa Catholic DSB,480.38,44.04,18.28,66.33,609.02,652.00
Toronto DSB,463.27,45.04,16.37,90.70,615.37,652.00
Toronto Catholic DSB,474.42,45.60,17.42,84.07,621.51,652.00
Kawartha Pine Ridge DSB,479.64,43.14,18.93,88.15,629.86,652.00
Hamilton-Wentworth Cath DSB,460.42,44.38,19.75,106.87,631.41,652.00
London Dist. Catholic School,489.01,41.29,20.38,95.88,646.56,652.00
Lambton Kent DSB,486.96,43.58,11.09,113.40,655.03,652.00
DSB of Niagara,468.71,43.18,18.48,132.14,662.52,652.00
Simcoe Muskoka Catholic DSB,482.22,43.55,20.95,117.60,664.31,652.00
Windsor-Essex Catholic DSB,485.42,42.62,21.29,124.43,673.77,652.00
Waterloo Catholic DSB,461.13,44.82,20.77,153.58,680.30,652.00
Grand Erie DSB,487.71,43.10,20.05,141.02,691.89,652.00
Bluewater DSB,511.25,41.48,22.08,121.44,696.25,652.00
CSD cath. Centre-Est de l'Ont.,546.02,44.12,20.37,88.29,698.80,652.00
PVNC Catholic DSB,536.96,44.24,23.94,107.17,712.32,652.00
Brant Haldimand Norfolk CDSB,539.37,43.04,26.34,113.60,722.35,652.00
Hastings & Prince Edward DSB,562.23,43.25,23.56,102.79,731.82,652.00
Upper Canada DSB,551.19,42.36,19.86,120.85,734.25,652.00
Trillium Lakelands DSB,543.69,40.19,22.07,142.27,748.23,652.00
Durham Catholic DSB,467.18,42.85,20.93,218.35,749.30,652.00
Niagara Catholic DSB,483.51,42.71,21.17,203.92,751.31,652.00
Avon Maitland DSB,545.77,43.04,23.57,140.59,752.97,652.00
St. Clair Catholic DSB,598.19,44.19,29.54,106.00,777.92,652.00
Limestone DSB,555.64,43.46,21.73,195.47,816.30,652.00
CEP de l'Est de l'Ontario,599.23,43.64,22.66,177.67,843.20,652.00
Rainbow DSB,620.77,42.31,24.52,156.68,844.28,652.00
CSC MonAvenir,689.89,45.56,23.32,89.58,848.35,652.00
Renfrew County DSB,635.76,43.66,29.05,146.50,854.98,652.00
CSD cath. de l'Est ontarien,671.69,42.99,26.95,132.46,874.09,652.00
CSC Providence,672.97,44.30,28.36,133.64,879.27,652.00
Lakehead DSB,597.47,41.38,29.06,222.17,890.08,652.00
Wellington Catholic DSB,574.39,43.56,30.60,254.09,902.63,652.00
Thunder Bay Catholic DSB,662.74,43.99,33.00,165.69,905.42,652.00
Conseil scolaire Viamonde,707.95,44.91,24.98,130.65,908.49,652.00
Algoma DSB,635.07,41.57,27.39,220.59,924.61,652.00
Algonquin & Lakeshore Cath DSB,599.82,43.80,26.17,269.29,939.09,652.00
Cath DSB of Eastern Ontario,619.93,43.91,24.73,252.20,940.78,652.00
Bruce-Grey Catholic DSB,723.79,43.65,41.65,163.31,972.40,652.00
Near North DSB,676.01,42.61,27.85,260.84,1007.31,652.00
Sudbury Catholic DSB,670.06,42.54,34.28,278.52,1025.40,652.00
DSB Ontario North East,774.85,42.24,33.59,188.18,1038.85,652.00
Huron-Perth Catholic DSB,765.34,44.22,41.91,188.09,1039.56,652.00
CSD cath. du Nouvel-Ontario,850.67,46.12,36.17,137.47,1070.43,652.00
Renfrew County Catholic DSB,787.91,43.81,41.01,219.63,1092.35,652.00
CSD cath. des Grandes Rivières,876.15,43.05,37.27,145.65,1102.12,652.00
Huron-Superior Catholic DSB,823.70,43.22,45.22,336.47,1248.61,652.00
Nipissing-Parry Sound Cath DSB,992.41,42.90,59.69,291.10,1386.10,652.00
Keewatin-Patricia DSB,880.93,43.77,44.06,470.96,1439.71,652.00
CSD catholique Franco-Nord,1117.45,45.36,63.23,338.24,1564.29,652.00
Northeastern Catholic DSB,1138.82,43.01,69.35,349.44,1600.63,652.00
CSP du Grand Nord de l'Ontario,1161.58,43.12,61.06,410.31,1676.06,652.00
Rainy River DSB,1198.25,43.20,74.82,587.44,1903.72,652.00
CSP du Nord-Est de l'Ontario,1250.30,47.97,75.47,656.43,2030.18,652.00
Kenora Catholic DSB,1418.94,42.67,112.78,623.55,2197.93,652.00
Northwest Catholic DSB,1515.98,45.16,116.77,677.67,2355.58,652.00
Superior-Greenstone DSB,1744.47,45.18,116.83,716.71,2623.19,652.00
CSD cath. des Aurores boréales,2158.30,47.27,163.46,806.10,3175.13,652.00
Superior North Catholic DSB,2554.83,43.57,212.10,1309.97,4120.47,652.00
