Board,Conseil scolaire de langue anglaise,Conseil scolaire de langue française
York Region DSB,2.17,
Toronto DSB,2.30,
Peel DSB,2.43,
Thames Valley DSB,2.70,
Waterloo Region DSB,2.71,
Dufferin-Peel Catholic DSB,2.83,
Durham DSB,2.84,
Hamilton-Wentworth DSB,2.89,
Simcoe County DSB,2.94,
Halton DSB,3.30,
DSB of Niagara,3.46,
Toronto Catholic DSB,3.62,
Halton Catholic DSB,3.79,
York Catholic DSB,3.82,
Ottawa-Carleton DSB,4.01,
Kawartha Pine Ridge DSB,4.08,
Upper Grand DSB,4.08,
Hamilton-Wentworth Cath DSB,4.27,
Waterloo Catholic DSB,4.37,
Grand Erie DSB,4.49,
Ottawa Catholic DSB,4.98,
Windsor-Essex Catholic DSB,5.16,
London Dist. Catholic School,5.19,
Simcoe Muskoka Catholic DSB,5.30,
Upper Canada DSB,5.42,
Lambton Kent DSB,5.45,
Durham Catholic DSB,5.52,
Bluewater DSB,5.54,
Trillium Lakelands DSB,5.86,
Niagara Catholic DSB,5.92,
Limestone DSB,5.94,
Hastings & Prince Edward DSB,6.01,
Avon Maitland DSB,6.05,
PVNC Catholic DSB,6.43,
Rainbow DSB,7.35,
Algonquin & Lakeshore Cath DSB,8.09,
Brant Haldimand Norfolk CDSB,8.17,
Cath DSB of Eastern Ontario,8.21,
Greater Essex County DSB,9.03,
Near North DSB,9.22,
Wellington Catholic DSB,9.53,
Lakehead DSB,9.82,
St. Clair Catholic DSB,10.45,
Renfrew County DSB,11.12,
Thunder Bay Catholic DSB,12.06,
DSB Ontario North East,12.16,
Sudbury Catholic DSB,12.96,
Huron-Perth Catholic DSB,15.44,
Keewatin-Patricia DSB,16.40,
Renfrew County Catholic DSB,16.69,
Bruce-Grey Catholic DSB,17.82,
Huron-Superior Catholic DSB,18.42,
Algoma DSB,27.35,
CEP de l'Est de l'Ontario,,28.10
Northeastern Catholic DSB,28.85,
Rainy River DSB,30.72,
Nipissing-Parry Sound Cath DSB,31.86,
Superior-Greenstone DSB,41.83,
Northwest Catholic DSB,42.89,
CSC MonAvenir,,44.93
Kenora Catholic DSB,51.68,
CSD cath. des Grandes Rivières,,78.27
Superior North Catholic DSB,98.56,
CSC Providence,,116.23
CSD cath. du Nouvel-Ontario,,121.36
Conseil scolaire Viamonde,,142.42
CSD catholique Franco-Nord,,169.63
CSD cath. de l'Est ontarien,,180.00
CSD cath. Centre-Est de l'Ont.,,181.58
CSP du Nord-Est de l'Ontario,,212.45
CSP du Grand Nord de l'Ontario,,481.50
CSD cath. des Aurores boréales,,527.77
