Conseil scolair,Subvention de base pour les élèves,Subvention pour l’éducation de l’enfance en difficulté,Subvention pour raisons d’ordre géographique,Subvention pour l’enseignement des langues,Toutes les autres subventions,Total,Average
Halton Catholic DSB,5654.6,1393.65,1.84,270.51,3858,11178.59,12701
Halton DSB,5635.7,1438.55,0.23,382.36,3929.05,11385.89,12701
Durham DSB,5649.91,1512.01,0.67,231.87,4070.52,11464.99,12701
Waterloo Region DSB,5660.49,1437.59,0.95,345.18,4077.72,11521.93,12701
Waterloo Catholic DSB,5661.04,1463.45,3.78,344.43,4261.2,11733.9,12701
Simcoe County DSB,5661.72,1494.25,10.79,179.31,4399.63,11745.69,12701
Durham Catholic DSB,5654.76,1579.51,12.58,252.9,4290.87,11790.62,12701
York Region DSB,5634.96,1438.49,0.33,401.44,4336.07,11811.3,12701
York Catholic DSB,5635.48,1404.01,2.14,293.38,4587.4,11922.4,12701
Peel DSB,5645.98,1464.04,0.07,515.71,4344.42,11970.22,12701
Hamilton-Wentworth Cath DSB,5674.78,1489.48,3.31,283.84,4551.37,12002.79,12701
Simcoe Muskoka Catholic DSB,5655.04,1579.3,70.14,175.73,4522.6,12002.81,12701
Hamilton-Wentworth DSB,5655.44,1536.79,0.82,332.99,4537.59,12063.63,12701
Thames Valley DSB,5652.13,1489.32,8.99,310.76,4603.1,12064.31,12701
Dufferin-Peel Catholic DSB,5669.66,1370.26,1.33,365.82,4674.68,12081.75,12701
DSB of Niagara,5661.92,1542.08,2.92,227.13,4662.92,12096.97,12701
Upper Grand DSB,5667.65,1587.95,16.6,232.32,4655.06,12159.57,12701
Greater Essex County DSB,5645.15,1508.85,9.76,375.49,4630.51,12169.75,12701
Grand Erie DSB,5656.14,1529.89,25.56,172.34,4830.31,12214.25,12701
Niagara Catholic DSB,5651.45,1487.88,7.99,238.21,4848.03,12233.56,12701
London Dist. Catholic School,5674.65,1461.83,28.59,326.59,4771,12262.67,12701
Kawartha Pine Ridge DSB,5666.76,1722.93,23.36,183.49,4680.17,12276.71,12701
Brant Haldimand Norfolk CDSB,5679.77,1681.7,139.37,180.6,4627.61,12309.05,12701
Windsor-Essex Catholic DSB,5664.42,1421.9,6.47,367.13,4924.73,12384.65,12701
Ottawa-Carleton DSB,5656.83,1416.01,2.69,512.39,4839.42,12427.34,12701
Ottawa Catholic DSB,5640.25,1561.85,3.98,470.92,4829.1,12506.1,12701
PVNC Catholic DSB,5645.88,1723.68,69.6,192.3,5000.29,12631.75,12701
Lambton Kent DSB,5665.73,1560.91,40.31,184.96,5246.78,12698.7,12701
Toronto DSB,5664.24,1449,0,519.73,5177.71,12810.67,12701
Wellington Catholic DSB,5649.45,1658.36,193.6,307.82,5008.54,12817.76,12701
Bluewater DSB,5652.55,1609.15,131.01,187.87,5267.87,12848.46,12701
Toronto Catholic DSB,5651.51,1451.46,0,541.41,5262.57,12906.94,12701
St. Clair Catholic DSB,5645.77,1704.12,232.17,200.32,5238.17,13020.55,12701
Trillium Lakelands DSB,5667.74,1670.75,221.78,148.9,5332.35,13041.52,12701
Limestone DSB,5666.49,1609.61,160.49,238.55,5605.51,13280.65,12701
Avon Maitland DSB,5673.7,1576.15,95.63,168.37,5780.05,13293.9,12701
Algonquin & Lakeshore Cath DSB,5662.66,1730.58,326.36,211.49,5547.22,13478.31,12701
Hastings & Prince Edward DSB,5652.16,1741.13,131.69,153.1,5866.92,13544.99,12701
Bruce-Grey Catholic DSB,5695.03,1927.99,388.98,206.94,5677.78,13896.72,12701
Upper Canada DSB,5662.63,1741.26,107.01,253.62,6228.86,13993.37,12701
Huron-Perth Catholic DSB,5649.2,1859.87,395.03,179.9,6155.26,14239.25,12701
Cath DSB of Eastern Ontario,5649.85,1861.29,207.42,249.2,6309.66,14277.42,12701
Lakehead DSB,5669.4,2150.45,667.21,204.85,5776.99,14468.91,12701
CSD cath. Centre-Est de l'Ont.,5651.99,1650.29,293.4,1871.25,5159.45,14626.38,12701
Sudbury Catholic DSB,5656.5,2048.84,366.51,353.16,6267.97,14692.99,12701
Renfrew County DSB,5672.79,1903.67,381.53,207.27,6586.96,14752.23,12701
Rainbow DSB,5659.37,2518.88,328.04,239.42,6328.53,15074.24,12701
