Conseil scolaire,Petit,Moyen,Grand,Average
Halton Catholic DSB,,,11178.59,12701.00
Halton DSB,,,11385.89,12701.00
Durham DSB,,,11464.99,12701.00
Waterloo Region DSB,,,11521.93,12701.00
Waterloo Catholic DSB,,,11733.90,12701.00
Simcoe County DSB,,,11745.69,12701.00
Durham Catholic DSB,,11790.62,,12701.00
York Region DSB,,,11811.30,12701.00
York Catholic DSB,,,11922.40,12701.00
Peel DSB,,,11970.22,12701.00
Hamilton-Wentworth Cath DSB,,,12002.79,12701.00
Simcoe Muskoka Catholic DSB,,12002.81,,12701.00
Hamilton-Wentworth DSB,,,12063.63,12701.00
Thames Valley DSB,,,12064.31,12701.00
Dufferin-Peel Catholic DSB,,,12081.75,12701.00
DSB of Niagara,,,12096.97,12701.00
Upper Grand DSB,,,12159.57,12701.00
Greater Essex County DSB,,,12169.75,12701.00
Grand Erie DSB,,,12214.25,12701.00
Niagara Catholic DSB,,12233.56,,12701.00
London Dist. Catholic School,,12262.67,,12701.00
Kawartha Pine Ridge DSB,,,12276.71,12701.00
Brant Haldimand Norfolk CDSB,,12309.05,,12701.00
Windsor-Essex Catholic DSB,,12384.65,,12701.00
Ottawa-Carleton DSB,,,12427.34,12701.00
Ottawa Catholic DSB,,,12506.10,12701.00
PVNC Catholic DSB,,12631.75,,12701.00
Lambton Kent DSB,,12698.70,,12701.00
Toronto DSB,,,12810.67,12701.00
Wellington Catholic DSB,12817.76,,,12701.00
Bluewater DSB,,12848.46,,12701.00
Toronto Catholic DSB,,,12906.94,12701.00
St. Clair Catholic DSB,13020.55,,,12701.00
Trillium Lakelands DSB,,13041.52,,12701.00
Limestone DSB,,13280.65,,12701.00
Avon Maitland DSB,,13293.90,,12701.00
Algonquin & Lakeshore Cath DSB,,13478.31,,12701.00
Hastings & Prince Edward DSB,,13544.99,,12701.00
Bruce-Grey Catholic DSB,13896.72,,,12701.00
Upper Canada DSB,,,13993.37,12701.00
Huron-Perth Catholic DSB,14239.25,,,12701.00
Cath DSB of Eastern Ontario,,14277.42,,12701.00
Lakehead DSB,14468.91,,,12701.00
CSD cath. Centre-Est de l'Ont.,,,14626.38,12701.00
Sudbury Catholic DSB,14692.99,,,12701.00
Renfrew County DSB,,14752.23,,12701.00
Rainbow DSB,,15074.24,,12701.00
Thunder Bay Catholic DSB,15277.15,,,12701.00
Renfrew County Catholic DSB,15360.42,,,12701.00
Near North DSB,,15532.90,,12701.00
CEP de l'Est de l'Ontario,,15593.26,,12701.00
Algoma DSB,,15804.54,,12701.00
CSC Providence,,16141.54,,12701.00
CSD cath. de l'Est ontarien,,16413.70,,12701.00
CSC MonAvenir,,16583.82,,12701.00
Huron-Superior Catholic DSB,17066.55,,,12701.00
Conseil scolaire Viamonde,,17123.81,,12701.00
Nipissing-Parry Sound Cath DSB,17407.92,,,12701.00
DSB Ontario North East,18507.64,,,12701.00
Northeastern Catholic DSB,18665.94,,,12701.00
CSD cath. du Nouvel-Ontario,19135.65,,,12701.00
Keewatin-Patricia DSB,19868.42,,,12701.00
CSD cath. des Grandes Rivières,20333.23,,,12701.00
Northwest Catholic DSB,20540.20,,,12701.00
Kenora Catholic DSB,20624.96,,,12701.00
CSD catholique Franco-Nord,21829.31,,,12701.00
Rainy River DSB,21955.79,,,12701.00
CSP du Nord-Est de l'Ontario,25025.70,,,12701.00
CSP du Grand Nord de l'Ontario,25359.51,,,12701.00
Superior North Catholic DSB,29452.36,,,12701.00
Superior-Greenstone DSB,29858.44,,,12701.00
CSD cath. des Aurores boréales,31488.55,,,12701.00
