Board,Revenus pour projets d’infrastructure,Revenus de fonctionnement provinciaux et de source propre,Revenus des transferts de fonctionnement fédéraux,Total,Average
Durham DSB,12051.49289,675.3948098,38.98074845,12765.86845,14501
Waterloo Region DSB,12188.12405,689.7466765,2.454235796,12880.32496,14501
Halton DSB,12346.0097,564.4481238,32.68053128,12943.13835,14501
Halton Catholic DSB,12523.76123,533.8840767,64.79056781,13122.43588,14501
Simcoe County DSB,12489.69723,697.2349366,23.94109622,13210.87326,14501
Upper Grand DSB,12671.07557,514.6306061,62.01416745,13247.72034,14501
Thames Valley DSB,12569.12816,595.0295851,96.55645425,13260.7142,14501
York Region DSB,12726.27847,592.6388115,6.050898026,13324.96818,14501
Peel DSB,12702.51304,633.1382156,32.38966913,13368.04092,14501
Greater Essex County DSB,12801.80396,704.4695111,11.62768639,13517.90116,14501
Simcoe Muskoka Catholic DSB,12902.91381,689.1232581,31.45835372,13623.49542,14501
London Dist. Catholic School,13164.02804,504.8789613,0,13668.90701,14501
York Catholic DSB,12977.291,715.717922,11.54377654,13704.5527,14501
Brant Haldimand Norfolk CDSB,13132.73013,556.7436324,90.08788052,13779.56165,14501
Hamilton-Wentworth Cath DSB,13012.25198,691.0202874,87.46314827,13790.73542,14501
Dufferin-Peel Catholic DSB,13137.5832,640.1548497,23.29450724,13801.03255,14501
Windsor-Essex Catholic DSB,13023.27694,812.7976363,5.747832426,13841.8224,14501
Grand Erie DSB,12925.81844,645.510674,302.1153961,13873.44451,14501
Kawartha Pine Ridge DSB,13231.1872,623.1556064,70.79494101,13925.13774,14501
DSB of Niagara,13072.77735,838.8572733,23.44475479,13935.07938,14501
Niagara Catholic DSB,13252.01575,692.8172369,43.15729108,13987.99028,14501
Ottawa Catholic DSB,13481.92565,615.7627023,23.36023685,14121.04859,14501
Bluewater DSB,13301.86679,723.3328316,128.9218433,14154.12146,14501
PVNC Catholic DSB,13541.00963,624.1037792,29.46825086,14194.58166,14501
Wellington Catholic DSB,13628.54676,679.4497599,8.5749567,14316.57147,14501
Trillium Lakelands DSB,13707.65383,579.0006352,59.08575663,14345.74022,14501
Ottawa-Carleton DSB,13429.91495,912.3502339,39.87177409,14382.13696,14501
Waterloo Catholic DSB,13648.52995,778.8920423,88.08799151,14515.50998,14501
Hamilton-Wentworth DSB,13622.31443,924.4569809,43.28886298,14590.06028,14501
Durham Catholic DSB,13980.90848,635.200267,33.52265605,14649.6314,14501
Toronto Catholic DSB,13762.6899,925.7941667,50.32049127,14738.80455,14501
Lambton Kent DSB,13878.05844,789.6015175,184.6210039,14852.28097,14501
