Conseil scolaire,Système scolaire,Effectif,Places,Financement par élève (en dollars),Revenu par élève (en dollars),Dépenses par élève (en dollars),Taux de réussite OQRE moyen,Revenus totaux (en millions de dollars),Dépenses totales (en millions de dollars),Excédent/(déficit) (en millions de dollars),Excédent cumulé en fin d’année/(déficit) (au 31 août 2022) (en millions de dollars),Excédent/(déficit) en proportion des revenus,Excédent cumulé en fin d’année/(déficit) en proportion des revenus (au 31 août 2022),Isolement (en km),Dispersion (en km),Facteur urbain,Urbain
DSB Ontario North East,Public anglais,6562.13,13434,19558.6287,21627.69408,21461.8473,0.464190981,141.9237402,140.835432,1.08830816,37.455778,0.00766826,0.263914818,659,53.89,0.956,Moins rural
Algoma DSB,Public anglais,9761.51,15269,16756.54467,19614.3621,19329.4017,0.56,191.4657918,188.684148,2.78164379,26.867275,0.01452815,0.140324153,628,37.17,0.802,Moins rural
Rainbow DSB,Public anglais,12987.26,18367,15925.85157,17815.64374,17671.05895,0.627221172,231.3763973,229.498637,1.87776032,33.040406,0.008115609,0.14279938,363,27.2,0.349,Moins urbain
Near North DSB,Public anglais,9560.12,13711,16549.41287,18136.73863,17688.24031,0.521629084,173.3893977,169.1017,4.28769774,26.962597,0.024728719,0.155503147,313,25.79,0.918,Moins rural
Keewatin-Patricia DSB,Public anglais,4226.26,7942,21324.43943,25771.41988,24741.34625,0.550305725,108.916721,104.563362,4.353359,39.725,0.039969611,0.364728204,1709,95.84,1,Rural
Rainy River DSB,Public anglais,2033.97,4358,23890.25556,29030.24464,27820.46982,0.518721461,59.0466467,56.586001,2.4606457,26.913805,0.041672912,0.455805816,1584,49.85,1,Rural
Lakehead DSB,Public anglais,8559.86,11673,15368.82798,17966.64697,16981.46313,0.594977843,153.7919827,145.358947,8.43303571,7.028,0.05483404,0.045698091,1257,25.19,0.572,Moins rural
Superior-Greenstone DSB,Public anglais,1188.64,4567,32524.26017,41879.75922,41406.08174,0.438669439,49.779957,49.216925,0.563032,13.250849,0.011310416,0.266188438,967,72.61,1,Rural
Bluewater DSB,Public anglais,17273,20513,13550.25103,14154.12146,13844.09014,0.590322992,244.48414,239.128969,5.355171,41.997859,0.021903961,0.171781527,<151,21.65,1,Rural
Avon Maitland DSB,Public anglais,14758.12,20017,14052.91249,15137.67694,14845.09667,0.655370745,223.4036529,219.085718,4.31793486,21.196891,0.019327951,0.094881577,<151,14.96,0.992,Moins rural
Greater Essex County DSB,Public anglais,35845.05,41728,12780.82496,13517.90116,13418.53416,0.62312433,484.5498429,480.988028,3.56181485,51.461532,0.007350771,0.106204827,<151,6.82,0.465,Moins urbain
Lambton Kent DSB,Public anglais,21108.53,30161,13359.19118,14852.28097,14466.48616,0.560609456,313.5098183,305.366257,8.14356132,51.781245,0.025975459,0.165166263,<151,15.71,0.712,Moins rural
Thames Valley DSB,Public anglais,80219.64,86692,12664.41342,13260.7142,13363.29406,0.614669681,1063.769719,1071.998639,-8.22891989,103.696,-0.007735621,0.097479744,<151,9.03,0.454,Moins urbain
Toronto DSB,Public anglais,230846.65,294215,13428.35159,14871.54947,15253.04099,0.695691939,3433.047376,3521.113416,-88.06603951,-19.259,-0.025652439,-0.005609885,<151,3.85,0,Urbain
Durham DSB,Public anglais,74093.78,70847,11991.18626,12765.86845,12616.63194,0.683128814,945.8714485,934.813951,11.05749745,311.513721,0.011690275,0.329340442,<151,5.54,0.513,Moins rural
Kawartha Pine Ridge DSB,Public anglais,34176.75,37606,12910.6556,13925.13774,13837.29041,0.643194645,475.9159514,472.913615,3.00233637,52.550728,0.006308543,0.110420186,<151,13.94,0.816,Moins rural
Trillium Lakelands DSB,Public anglais,16735.15,23351,13795.60666,14345.74022,13950.22746,0.61136891,240.0781145,233.459149,6.61896548,23.374,0.027570049,0.097359978,<151,26.8,0.861,Moins rural
York Region DSB,Public anglais,124807.59,133999,12354.40541,13324.96818,13120.24648,0.774219967,1663.057165,1637.506343,25.55082181,955.851,0.015363766,0.574755348,<151,6.28,0.243,Moins urbain
Simcoe County DSB,Public anglais,54367.31,50664,12345.61925,13210.87326,12813.08507,0.636604892,718.2396419,696.612968,21.62667394,151.795,0.030110666,0.21134311,<151,11.6,0.759,Moins rural
Upper Grand DSB,Public anglais,34936.42,37330,12757.49504,13247.72034,13246.55984,0.677058624,462.827922,462.787378,0.040544,95.010753,8.76006E-05,0.205283105,<151,9.72,0.754,Moins rural
Peel DSB,Public anglais,150606.54,177212,12511.57774,13368.04092,13389.0172,0.681267117,2013.31439,2016.473554,-3.159164,638.973836,-0.001569136,0.317374097,<151,4.43,0.047,Moins urbain
