Board,English-language School Board,French-language School Board, Average 
Halton Catholic DSB,11179.00,  ,12701.00
Halton DSB,11386.00,  ,12701.00
Durham DSB,11465.00,  ,12701.00
Waterloo Region DSB,11522.00,  ,12701.00
Waterloo Catholic DSB,11734.00,  ,12701.00
Simcoe County DSB,11746.00,  ,12701.00
Durham Catholic DSB,11791.00,  ,12701.00
York Region DSB,11811.00,  ,12701.00
York Catholic DSB,11922.00,  ,12701.00
Peel DSB,11970.00,  ,12701.00
Hamilton-Wentworth Cath DSB,12003.00,  ,12701.00
Simcoe Muskoka Catholic DSB,12003.00,  ,12701.00
Hamilton-Wentworth DSB,12064.00,  ,12701.00
Thames Valley DSB,12064.00,  ,12701.00
Dufferin-Peel Catholic DSB,12082.00,  ,12701.00
DSB of Niagara,12097.00,  ,12701.00
Upper Grand DSB,12160.00,  ,12701.00
Greater Essex County DSB,12170.00,  ,12701.00
Grand Erie DSB,12214.00,  ,12701.00
Niagara Catholic DSB,12234.00,  ,12701.00
London Dist. Catholic School,12263.00,  ,12701.00
Kawartha Pine Ridge DSB,12277.00,  ,12701.00
Brant Haldimand Norfolk CDSB,12309.00,  ,12701.00
Windsor-Essex Catholic DSB,12385.00,  ,12701.00
Ottawa-Carleton DSB,12427.00,  ,12701.00
Ottawa Catholic DSB,12506.00,  ,12701.00
PVNC Catholic DSB,12632.00,  ,12701.00
Lambton Kent DSB,12699.00,  ,12701.00
Toronto DSB,12811.00,  ,12701.00
Wellington Catholic DSB,12818.00,  ,12701.00
Bluewater DSB,12848.00,  ,12701.00
Toronto Catholic DSB,12907.00,  ,12701.00
St. Clair Catholic DSB,13021.00,  ,12701.00
Trillium Lakelands DSB,13042.00,  ,12701.00
Limestone DSB,13281.00,  ,12701.00
Avon Maitland DSB,13294.00,  ,12701.00
Algonquin & Lakeshore Cath DSB,13478.00,  ,12701.00
Hastings & Prince Edward DSB,13545.00,  ,12701.00
Bruce-Grey Catholic DSB,13897.00,  ,12701.00
Upper Canada DSB,13993.00,  ,12701.00
Huron-Perth Catholic DSB,14239.00,  ,12701.00
Cath DSB of Eastern Ontario,14277.00,  ,12701.00
Lakehead DSB,14469.00,  ,12701.00
CSD cath. Centre-Est de l'Ont.,  ,14626.00,12701.00
Sudbury Catholic DSB,14693.00,  ,12701.00
Renfrew County DSB,14752.00,  ,12701.00
Rainbow DSB,15074.00,  ,12701.00
Thunder Bay Catholic DSB,15277.00,  ,12701.00
Renfrew County Catholic DSB,15360.00,  ,12701.00
Near North DSB,15533.00,  ,12701.00
CEP de l'Est de l'Ontario,  ,15593.00,12701.00
Algoma DSB,15805.00,  ,12701.00
CSC Providence,  ,16142.00,12701.00
CSD cath. de l'Est ontarien,  ,16414.00,12701.00
CSC MonAvenir,  ,16584.00,12701.00
Huron-Superior Catholic DSB,17067.00,  ,12701.00
Conseil scolaire Viamonde,  ,17124.00,12701.00
Nipissing-Parry Sound Cath DSB,17408.00,  ,12701.00
DSB Ontario North East,18508.00,  ,12701.00
Northeastern Catholic DSB,18666.00,  ,12701.00
CSD cath. du Nouvel-Ontario,  ,19136.00,12701.00
Keewatin-Patricia DSB,19868.00,  ,12701.00
CSD cath. des Grandes Rivières,  ,20333.00,12701.00
Northwest Catholic DSB,20540.00,  ,12701.00
Kenora Catholic DSB,20625.00,  ,12701.00
CSD catholique Franco-Nord,  ,21829.00,12701.00
Rainy River DSB,21956.00,  ,12701.00
CSP du Nord-Est de l'Ontario,  ,25026.00,12701.00
CSP du Grand Nord de l'Ontario,  ,25360.00,12701.00
Superior North Catholic DSB,29452.00,  ,12701.00
Superior-Greenstone DSB,29858.00,  ,12701.00
CSD cath. des Aurores boréales,  ,31489.00,12701.00
